"effect","variable","df","sum_sq","mean_sq","f_value","p_value","partial_eta_squared"
"camera_zoom","projectiles_alive_mean",1,0,0,,,
"camera_zoom:camera_recoil","projectiles_alive_mean",1,0,0,,,
"Residuals","projectiles_alive_mean",165,0,0,,,
"camera_recoil","low_hp_ratio",1,0.0013632427138335,0.0013632427138335,0.346257333083571,0.557044064754801,0.00209413468843174
"camera_shake","low_hp_ratio",1,0.00104772752153529,0.00104772752153529,0.266117936097311,0.606638428691433,0.00161023892507846
"camera_shake:camera_recoil","low_hp_ratio",1,0.00219475391105542,0.00219475391105542,0.557457324587325,0.456349074852774,0.00336715321433326
"camera_shake:camera_zoom","low_hp_ratio",1,0.00701358293799472,0.00701358293799472,1.78141757064039,0.183814164618834,0.0106811513931753
"camera_shake:camera_zoom:camera_recoil","low_hp_ratio",1,2.71701393908174e-06,2.71701393908174e-06,0.000690108951950161,0.979073787941734,4.18246100361443e-06
"camera_zoom","low_hp_ratio",1,0.0114066820761888,0.0114066820761888,2.89724439746076,0.0906144065816083,0.0172560568689392
"camera_zoom:camera_recoil","low_hp_ratio",1,0.000844490396759266,0.000844490396759266,0.214496648050498,0.643875856315723,0.00129829193201751
"Residuals","low_hp_ratio",165,0.649618148962749,0.00393707969068333,,,
"camera_recoil","fps_mean",1,2.21476239127805,2.21476239127805,0.0226118271919466,0.880654563484638,0.000137022599155231
"camera_shake","fps_mean",1,0.537128305482897,0.537128305482897,0.00548386249979335,0.941057828465055,3.32344257380142e-05
"camera_shake:camera_recoil","fps_mean",1,0.0552915496920479,0.0552915496920479,0.000564504333166885,0.981073313990365,3.42122667799758e-06
"camera_shake:camera_zoom","fps_mean",1,18.2651596909104,18.2651596909104,0.186479884339125,0.666426429254936,0.00112890524981037
"camera_shake:camera_zoom:camera_recoil","fps_mean",1,7.52503242300542,7.52503242300542,0.076827533929996,0.781990533332111,0.000465404715354157
"camera_zoom","fps_mean",1,134.081535552652,134.081535552652,1.36891818440075,0.243685056385675,0.00822820872636475
"camera_zoom:camera_recoil","fps_mean",1,91.4842968591078,91.4842968591078,0.934017626225431,0.335235514501335,0.00562884958483529
"Residuals","fps_mean",165,16161.2677940079,97.9470775394419,,,
"camera_recoil","fps_min",1,65.3400394967508,65.3400394967508,0.466809474418474,0.495416888413105,0.00282116683038264
"camera_shake","fps_min",1,110.546192557706,110.546192557706,0.789776229770913,0.375461531186549,0.00476372094667857
"camera_shake:camera_recoil","fps_min",1,18.6331092605939,18.6331092605939,0.133120702217396,0.715685298663066,0.000806141745830933
"camera_shake:camera_zoom","fps_min",1,82.6390039735747,82.6390039735747,0.590398633188597,0.44336334289269,0.00356541585781451
"camera_shake:camera_zoom:camera_recoil","fps_min",1,3.846602738534,3.846602738534,0.0274813210475793,0.868537038534225,0.000166525725458517
"camera_zoom","fps_min",1,36.2624485993375,36.2624485993375,0.259070161300184,0.611439650769401,0.00156766077073604
"camera_zoom:camera_recoil","fps_min",1,166.978175067918,166.978175067918,1.19294378673718,0.27632875815014,0.00717806520274407
"Residuals","fps_min",165,23095.3035612536,139.97153673487,,,
"camera_recoil","fps_drop_ratio",1,0.00478503312891606,0.00478503312891606,0.067851167469543,0.794816351570586,0.000411050165066392
"camera_shake","fps_drop_ratio",1,0.0713671837592534,0.0713671837592534,1.01197768262384,0.315902486361557,0.00609581125862196
"camera_shake:camera_recoil","fps_drop_ratio",1,0.00993716429028144,0.00993716429028144,0.1409077388321,0.707862368661514,0.000853257625632912
"camera_shake:camera_zoom","fps_drop_ratio",1,0.135724005884615,0.135724005884615,1.92454931968263,0.167226968285517,0.0115294564372126
"camera_shake:camera_zoom:camera_recoil","fps_drop_ratio",1,0.0223316100547419,0.0223316100547419,0.316659419666769,0.574385943945678,0.00191547192387253
"camera_zoom","fps_drop_ratio",1,0.0116762818273456,0.0116762818273456,0.165568206602632,0.684608237046107,0.00100243778652174
"camera_zoom:camera_recoil","fps_drop_ratio",1,0.207450788182692,0.207450788182692,2.94162606432384,0.0882011055283645,0.0175157650503941
"Residuals","fps_drop_ratio",165,11.6362104841535,0.0705224877827483,,,
