"player_id","run_id","supabase_row_number","cond","shake","zoom","recoil","n_effects","imm_total","imm_atraccion","imm_foco","imm_presencia","end_reason","ingame_survival_s","total_kills","kill_rate","kills_per_min","input_total","input_rate","inputs_per_min","dmg_per_min_2m","hits_per_min_2m","damage_amount_per_min_2m","dmg_per_min","hits_per_min","enemies_mean","fps_mean","bg_frequency","bg_hours_7d","bg_experience","imm_q1","imm_q2","imm_q3","imm_q4","imm_q5","imm_q6","imm_q7","imm_q8","imm_q9","imm_q10","imm_q11","imm_q12","imm_q13","imm_q14","imm_q15","imm_q16","imm_q17","imm_q18","imm_q19","imm_q20","imm_q21","imm_q22","imm_q23","imm_q24","shake_num","zoom_num","recoil_num","duration_min","hits_total_est","damage_amount_total_est","treatment","Shake","Zoom","Recoil","person_row_index"
"C6F196","7cbc6bac-31b7-4341-8e27-9e0e39ea6ad5",92,100,1,0,0,1,4.333,4.875,4.75,3.375,"win",210,435,1.13577,124.286,588,1.535248,168,5.5,5.5,5.5,12.286,12.286,31.4098179812,59.7517926089,"Diario","Más de 20 horas","Experto",5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,2,2,4,2,2,5,5,5,1,0,0,3.5,43,43.001,"Shake","Presente","Ausente","Ausente",1
"C6F221","dd46af74-5e44-481c-961c-44a1df094eb7",154,11,0,1,1,2,2.708,4.25,2.625,1.25,"win",414,435,0.728643,63.043,870,1.457286,126.087,6.5,6.5,6.5,13.478,13.478,33.9079909961,59.944006753,"Rara vez","2–5 horas","Básico",4,5,3,5,5,5,4,3,4,4,4,1,1,2,2,3,1,1,1,1,1,3,1,1,0,1,1,6.9,93,92.9982,"Zoom + Recoil","Ausente","Presente","Presente",1
"C6F310","6d6c8b0a-7f32-4120-864f-1757d438c8a5",76,11,0,1,1,2,2.25,3.25,2.25,1.25,"death",113,95,0.475,50.442,128,0.64,67.965,40.306,40.354,40.306,40.306,40.354,38.6282306163,50.5765407555,"Rara vez","Menos de 2 horas","Intermedio",2,4,4,4,3,4,4,1,3,5,1,1,3,3,1,1,1,1,1,1,1,2,1,2,0,1,1,1.88333333333333,76,75.9096333333333,"Zoom + Recoil","Ausente","Presente","Presente",1
"C6F377","fb7c8cf5-1b21-4341-97b6-8afa63bbea89",174,110,1,1,0,2,3.667,5,2.625,3.375,"win",172,435,1.412338,151.744,404,1.311688,140.93,3.5,3.5,3.5,11.86,11.86,23.9836494441,48.5493786789,"Varias veces por mes","Menos de 2 horas","Intermedio",5,5,5,5,5,5,5,5,3,4,1,1,1,5,3,3,3,5,5,3,1,3,2,5,1,1,0,2.86666666666667,34,33.9986666666667,"Shake + Zoom","Presente","Presente","Ausente",1
"C6F410","e8e70be3-66e8-4abd-8157-b58ad3ccc5e4",163,11,0,1,1,2,3.625,3.75,3.375,3.75,"win",115,435,0.953947,226.957,305,0.66886,159.13,16.174,16.174,14.609,14.609,16.174,27.0846063455,59.0904817861,"Diario","11–20 horas","Avanzado",2,5,4,5,4,4,5,1,4,1,3,2,4,4,5,4,4,2,5,5,1,5,5,3,0,1,1,1.91666666666667,31,28.0005833333333,"Zoom + Recoil","Ausente","Presente","Presente",1
"C6F428","b6337ca6-0416-46b6-a9ed-a78d8ea4fa08",127,0,0,0,0,0,1.917,2.875,1.875,1,"win",127,435,1.526316,205.512,417,1.463158,197.008,3.5,3.5,3.5,3.78,3.78,28.9573770492,56.4221311475,"Diario","11–20 horas","Avanzado",4,4,1,3,5,3,1,2,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2.11666666666667,8,8.001,"Control","Ausente","Ausente","Ausente",1
"C6F475","42f13b81-8a0e-4acd-8ce8-8270f40d08b1",50,10,0,1,0,1,2.792,4.375,2.625,1.375,"win",293,435,1.112532,89.078,478,1.222506,97.884,5,5,5,18.43,18.43,41.7713841369,59.4385692068,"Varias veces por semana","Más de 20 horas","Avanzado",5,4,4,5,5,5,5,2,2,2,3,5,2,5,1,1,2,1,1,3,1,1,1,1,0,1,0,4.88333333333333,90,89.9998333333333,"Zoom","Ausente","Presente","Ausente",1
"C6F643","6f5d4349-239d-44b8-98da-4828fdc75a5c",79,110,1,1,0,2,3.25,2.75,3.875,3.125,"win",198,435,0.798165,131.818,220,0.40367,66.667,4.5,4.5,4.5,19.697,20.909,28.9865967366,59.2027972028,"Una vez por semana","2–5 horas","Avanzado",3,4,2,4,3,3,2,1,4,5,4,2,2,4,5,5,3,1,4,4,2,3,5,3,1,1,0,3.3,69,65.0001,"Shake + Zoom","Presente","Presente","Ausente",1
"C6F681","bd4d300a-53d4-4b24-ad46-64d19ab0e84c",131,110,1,1,0,2,4.792,5,4.375,5,"win",191,435,1.314199,136.649,510,1.540785,160.209,10.5,10.5,10.5,16.649,16.963,29.981884058,59.4921497585,"Diario","11–20 horas","Experto",5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,1,1,0,3.18333333333333,54,52.9993166666667,"Shake + Zoom","Presente","Presente","Ausente",1
"C6F831","e509480d-9abc-448c-99a2-b370493a7de2",157,0,0,0,0,0,1.792,2.375,1.625,1.375,"death",102,166,1.006061,97.647,284,1.721212,167.059,31.453,31.765,31.453,31.453,31.765,34.995872033,56.6181630547,"Rara vez","Menos de 2 horas","Intermedio",2,5,5,2,1,2,1,1,4,3,1,1,1,1,1,1,1,1,2,1,1,3,1,1,0,0,0,1.7,54,53.4701,"Control","Ausente","Ausente","Ausente",1
"C6H036","d7c646c1-4ab1-4f92-87f1-1a441d2a214e",152,1,0,0,1,1,3.208,4.625,2.125,2.875,"win",157,435,1.474576,166.242,549,1.861017,209.809,6.5,6.5,6.5,14.904,14.904,30.9848920863,58.8417266187,"Diario","11–20 horas","Experto",5,5,4,5,5,5,5,3,1,3,1,1,1,4,5,1,2,2,3,5,3,5,2,1,0,0,1,2.61666666666667,39,38.9988,"Recoil","Ausente","Ausente","Presente",1
"C6H217","b7c48a10-1c42-43c1-bc58-ece266868745",129,11,0,1,1,2,4.25,4.5,4.25,4,"win",365,435,0.92161,71.507,710,1.504237,116.712,7.5,7.5,7.5,16.767,16.767,37.1704907584,59.9244741874,"Diario","2–5 horas","Avanzado",5,5,3,5,5,5,5,3,5,5,5,5,1,5,5,3,3,2,5,4,4,5,4,5,0,1,1,6.08333333333333,102,101.99925,"Zoom + Recoil","Ausente","Presente","Presente",1
