id,run_id,damage_source,total_damage,total_kills
4196c2bf-2216-439d-b117-e035389be8f7,40670b81-b267-43df-9a3a-56f504bf6354,death_arrows,1119.29729915,318
41c92667-3278-4398-957d-048cfc7cbbd4,e772dbc8-d74c-4d97-9993-ee6e996bbf89,burn,825.75872055,316
42d351db-78b4-4435-94a7-7dd45d4c1dac,cebb591f-f29d-4a40-a655-6e05d5f87ad2,death_arrows,1565.4139077166,519
434d9e96-cc8f-446e-bda1-dcf48bcd2305,288dd9db-2943-40d4-bfae-52d4a488fa95,arrow,1679.56992,513
43ac19d3-6324-4920-a84e-460011413cea,0c5e03c1-121d-4c92-affb-7ee2298844f7,death_arrows,753.169839999995,241
4411d7cc-7403-48cc-9533-c0599c7346ba,a87a8604-d3a5-44e7-935f-4c2dc8365229,arrow,2269.74166666666,659
4464682f-6cc7-427d-a58f-2a9eb46e42d1,6ed179b4-89b7-43c6-822a-653ff5ce4b9d,arrow,3907.96439574053,1008
4553acec-8887-4eee-a0e6-0f0f650af6da,36f78638-69ff-473d-91cc-cd779e015bf1,aura,241.956699999999,68
45adbbf0-9af3-4911-a5e2-3a84650302af,692afeaf-88db-4284-976e-beeee8413b96,arrow,1471.665,796
4662eceb-5179-44b5-a407-b797b1acc44f,f598cc70-cae8-420e-be86-d7c0aaab814f,death_arrows,765.292639999999,246
46e64cbb-d3f9-43a2-92ff-c59d2ddff884,1dce3196-e3f5-479c-9b38-f50703b0e15d,arrow,2032.10199449999,630
47d49e4c-8339-43bd-a500-2dd461d87444,1004050c-e64e-441a-b2d5-113a08160a55,arrow,1406.81624999999,618
47e084af-8853-466f-9841-556a34ce7248,621165b4-b72a-4b51-aca8-8901fdd12de6,burn,31.229,10
481d5895-1fab-4f61-b50c-f2f0dd81eded,2303b01f-fa08-4f77-bc3a-7a0d5f6d678b,arrow,2031.96842488889,572
48222746-864a-4594-8486-0c3fc4fcb7bd,c3d2f2ab-c4ef-4536-8eb3-12b6f72ca721,death_arrows,1253.51406,233
484375e5-4f2d-428f-90f3-d36328e27a2f,6d6c8b0a-7f32-4120-864f-1757d438c8a5,death_arrows,19.131228,20
48455c66-8934-4514-a195-e19f75ac97f3,32f853da-62d8-4f61-8ed7-32f77c52f2c5,arrow,1521.31942644443,436
48473eaa-6a59-47bc-927c-26ab7cc88980,47544f88-440c-4c4f-9eff-85ec5f081088,burn,69.9207579999999,42
489e6934-e54d-4167-a518-3d03757e5e98,b1420e15-afa5-4ddf-add1-b8a2145496f0,arrow,2293.65881033332,709
48a0ab48-f70f-4ddf-99d6-80208ba472cb,689bcacd-5e06-4be3-be11-3e60dc829331,aura,186.903933671874,23
