id,run_id,game_time_seconds,round,enemy_type,damage_type,damage_amount,hp_before_hit,hp_after_hit
018ff6b7-aa2b-4f14-9bc0-3a32a94d4296,e7a3224f-83fb-4c12-8455-7055cd163174,205,5,king,arrow,1.0,50.0561780666663,49.0561780666663
01944ade-4776-4971-b22c-dd7a9ca5be1e,9face13f-c901-4cc0-9f9a-dd9efc6d4887,319,5,zombie,contact,1.0,41.3165854999971,40.3165854999971
0195313f-fbe0-4d1f-a863-c4d6c0d2d6f5,93bad4a3-b6cc-4716-8212-ae631efe5f35,103,4,archer,arrow,1.0,75.0,74.0
019b8fcd-8ac9-4a1f-94a0-3778e8358703,0f33c073-f218-41b5-af78-ee891110b44a,351,5,zombie,contact,1.0,97.4261097000037,96.4261097000037
019f1b6f-5193-4c04-b5a5-bf47ca669e6c,81897b06-fd81-4935-9f3e-1c168deb59e9,316,5,knight_attacker,contact,1.0,25.1404382814905,24.1404382814905
01aa038e-4337-46f6-b79a-e3541f49b330,996ab3fb-c28a-4951-a2af-8850a2aaf382,27,1,archer,arrow,1.0,59.0,58.0
01ab8bd8-fb59-4f56-bf96-97588c7d0284,9face13f-c901-4cc0-9f9a-dd9efc6d4887,431,5,zombie,contact,1.0,75.1153023000147,74.1153023000147
01ac7246-ba8f-4754-9b28-2503f74919c6,0c266f69-0927-4d71-b084-d2a9b2ea6880,219,5,zombie,contact,1.0,48.6957685333342,47.6957685333342
01ace949-43f3-4bfc-a5ea-aa1c0a33c193,b7927167-a7db-4e53-8ca9-c44109513a9c,273,5,zombie,contact,1.0,124.906666666667,123.906666666667
01bbb84d-ed74-4c8e-9870-16ac3cbe9cd2,eb6ae233-5b63-4bfa-b563-5d9dab5e9da8,322,5,zombie,contact,1.0,122.881376533325,121.881376533325
01c6ca1f-fd03-4891-86f8-30fe3eb3d512,989215b9-2bdf-4c15-a089-a53d4e201445,68,3,archer,arrow,1.0,31.5466666666633,30.5466666666633
01c773af-fed0-4bd9-a2d1-3af7d70f511a,8049f7ab-ed9a-40c6-ac11-bb00a01272eb,301,5,knight_attacker,contact,1.0,84.3800000000004,83.3800000000004
01d0496a-999c-46ad-a776-4854c3215623,bb33ae0e-0e76-43dc-8d46-8bc833341d89,338,5,king,arrow,1.0,50.0,49.0
